,F06,F07,F08,F09,F11,F14,F18,F19,F21,F22,G01,G02,G03,G05,G07,G09,G10,L02,L03,L04,L06,L07,L08,L11,L13,L14,L15,L16,L17,L18,L20,L21,L22,L23,M02,M03,M04,M07,M08,M09,R03,R04,R05,R06,R08,R10,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,52,0,178,0,0,0,Bacteria(100.0),Actinobacteriota(100.0),Actinobacteria(100.0),Mycobacteriales(100.0),Mycobacteriaceae(100.0),Corynebacterium(100.0),Corynebacterium glutamicum(31.10244934803757)
Zotu971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,32,0,Bacteria(100.0),Actinobacteriota(54.93333333333332),Actinobacteria(54.93333333333332),Actinomycetales(54.93333333333332),Micrococcaceae(54.93333333333332),Arthrobacter_D(54.93333333333332),Arthrobacter_D sp002929375(27.46666666666666)
Zotu1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,Bacteria(100.0),Actinobacteriota(54.93333333333332),Actinobacteria(54.93333333333332),Actinomycetales(54.93333333333332),Micrococcaceae(54.93333333333332),Arthrobacter_D(54.93333333333332),Arthrobacter_D sp002929375(27.46666666666666)
Zotu870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,Bacteria(100.0),Actinobacteriota(58.93333333333332),Actinobacteria(58.93333333333332),Actinomycetales(58.93333333333332),Micrococcaceae(58.93333333333332),Arthrobacter_D(58.93333333333332),Arthrobacter_D sp002929375(29.46666666666666)
Zotu1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,Bacteria(100.0),Actinobacteriota(58.93333333333332),Actinobacteria(58.93333333333332),Actinomycetales(58.93333333333332),Micrococcaceae(58.93333333333332),Arthrobacter_D(58.93333333333332),Arthrobacter_D sp002929375(29.46666666666666)
Zotu1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,Bacteria(100.0),Actinobacteriota(59.19999999999999),Actinobacteria(59.19999999999999),Actinomycetales(59.19999999999999),Micrococcaceae(59.19999999999999),Arthrobacter_D(59.19999999999999),Arthrobacter_D sp002929375(29.599999999999994)
Zotu1312,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(34.4),Niastella koreensis(33.53333333333333)
Zotu972,0,0,0,0,0,0,0,0,0,0,8,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(34.83333333333333),Niastella koreensis(31.5)
Zotu1105,0,0,0,0,0,0,0,0,0,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(36.0),Chitinophaga dinghuensis(24.749999999999996)
Zotu1212,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(39.633333333333326),Niastella koreensis(28.58333333333334)
Zotu936,0,0,0,0,0,0,0,0,0,0,13,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(52.66666666666666),Niastella koreensis(47.333333333333336)
Zotu1326,0,0,0,0,0,0,0,0,0,0,5,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(52.66666666666666),Niastella koreensis(47.33333333333334)
Zotu1213,0,0,0,0,0,0,0,0,0,0,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(54.33333333333333),Niastella koreensis(45.66666666666667)
Zotu1031,0,0,0,0,0,0,0,0,0,0,12,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(55.16666666666666),Niastella koreensis(44.833333333333336)
Zotu884,0,0,0,0,0,0,0,0,0,0,6,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(61.0),Niastella koreensis(39.0)
Zotu992,0,0,0,0,0,0,0,0,0,0,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Chitinophaga(64.0),Niastella koreensis(36.0)
Zotu1108,0,0,0,0,0,0,0,0,0,0,6,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),Niastella(32.33333333333333),Niastella koreensis(32.33333333333333)
Zotu845,0,0,0,0,0,0,0,0,0,0,13,0,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),UBA7600(100.0),UBA7600 sp002390845(100.0)
Zotu1056,0,0,0,0,0,0,0,0,0,0,6,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Chitinophagales(100.0),Chitinophagaceae(100.0),UBA7600(100.0),UBA7600 sp002390845(100.0)
Zotu1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(52.5)
Zotu854,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(55.33333333333334)
Zotu1245,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(56.75)
Zotu1197,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(57.99999999999999)
Zotu1266,0,0,0,0,0,0,0,0,0,0,0,109,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,344,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter coccineus(99.0)
Zotu836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter swuensis(47.833333333333336)
Zotu876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(100.0),Hymenobacter swuensis(51.5)
Zotu1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(97.0),Hymenobacter coccineus(55.00000000000001)
Zotu1030,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.0),Hymenobacter coccineus(49.83333333333334)
Zotu1168,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.5),Hymenobacter coccineus(56.58333333333334)
Zotu1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.5),Hymenobacter coccineus(61.83333333333334)
Zotu996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(98.66666666666667),Hymenobacter coccineus(47.75)
Zotu1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.0),Hymenobacter coccineus(58.5)
Zotu1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.25),Hymenobacter coccineus(57.08333333333333)
Zotu925,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.5),Hymenobacter coccineus(54.50000000000001)
Zotu963,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.5),Hymenobacter coccineus(60.66666666666667)
Zotu1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.66666666666667),Hymenobacter coccineus(48.833333333333336)
Zotu1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Cytophagales(100.0),Hymenobacteraceae(100.0),Hymenobacter(99.66666666666667),Hymenobacter coccineus(58.333333333333336)
Zotu1264,0,0,0,65,0,0,3,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,4,0,0,0,7,0,0,0,0,2,Bacteria(100.0),Bacteroidota(100.0),Bacteroidia(100.0),Flavobacteriales(100.0),Weeksellaceae(100.0),Cloacibacterium(100.0),Cloacibacterium normanense(100.0)
Zotu1339,0,0,0,0,0,0,0,0,0,0,2,8,9,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Campylobacterota(100.0),Campylobacteria(100.0),Campylobacterales(100.0),Campylobacteraceae(100.0),Campylobacter_B(57.750000000000014),Campylobacter_B ureolyticus(50.500000000000014)
Zotu874,0,0,0,0,0,0,0,0,0,0,8,11,16,5,11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Campylobacterota(100.0),Campylobacteria(100.0),Campylobacterales(100.0),Campylobacteraceae(100.0),Campylobacter_B(65.0),Campylobacter_B ureolyticus(52.5)
Zotu1273,23,0,17,7,0,0,0,0,3,0,0,3,1,1,3,0,26,0,0,0,37,0,0,0,5,2,0,0,0,0,9,44,75,42,0,34,0,7,7,36,2,3,67,0,2,0,Bacteria(100.0),Deinococcota(100.0),Deinococci(100.0),Deinococcales(100.0),Deinococcaceae(100.0),Deinococcus(100.0),Deinococcus geothermalis(96.0)
Zotu1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Caldicellulosiruptorales(100.0),Caldicellulosiruptoraceae(100.0),Caldicellulosiruptor(100.0),Caldicellulosiruptor obsidiansis(66.25)
Zotu1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Caldicellulosiruptorales(100.0),Caldicellulosiruptoraceae(100.0),Caldicellulosiruptor(100.0),Caldicellulosiruptor obsidiansis(67.75)
Zotu1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Caldicellulosiruptorales(100.0),Caldicellulosiruptoraceae(100.0),Caldicellulosiruptor(100.0),Caldicellulosiruptor obsidiansis(68.5)
Zotu908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Caldicellulosiruptorales(100.0),Caldicellulosiruptoraceae(100.0),Caldicellulosiruptor(100.0),Caldicellulosiruptor obsidiansis(73.0)
Zotu1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Caldicellulosiruptorales(100.0),Caldicellulosiruptoraceae(100.0),Caldicellulosiruptor(100.0),Caldicellulosiruptor obsidiansis(78.25)
Zotu1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Thermoanaerobacterales(100.0),Thermoanaerobacteraceae(100.0),Thermoanaerobacterium(100.0),Thermoanaerobacterium sp900205865(39.25000000000001)
Zotu750,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Thermoanaerobacterales(100.0),Thermoanaerobacteraceae(100.0),Thermoanaerobacterium(100.0),Thermoanaerobacterium sp900205865(44.699999999999996)
Zotu1267,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes_A(100.0),Thermoanaerobacteria(100.0),Thermoanaerobacterales(100.0),Thermoanaerobacteraceae(100.0),Thermoanaerobacterium(100.0),Thermoanaerobacterium sp900205865(47.449999999999996)
Zotu1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(100.0),Anoxybacillaceae(95.63095238095242),Parageobacillus(45.77341269841273),Parageobacillus_A caldoxylosilyticus(33.024206349206366)
Zotu1229,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,24,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(100.0),Bacillaceae_A(92.11666666666667),Bacillus_AC(77.85555555555558),Bacillus_AC circulans(38.92777777777779)
Zotu1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(100.0),Caldibacillaceae(100.0),Bacillus_BK(100.0),Bacillus_BK kwashiorkori(100.0)
Zotu1164,10,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(100.0),Domibacillaceae_A(85.9),Bacillus_O(85.9),Bacillus_O smithii(85.9)
Zotu987,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,23,0,0,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(97.04924242424245),Bacillaceae_A(92.54924242424244),Bacillus_AC(72.96284271284271),Bacillus_AC circulans(36.48142135642136)
Zotu1140,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(98.43482905982903),Bacillaceae_A(93.18574481074477),Bacillus_AC(74.99511599511595),Bacillus_AC circulans(37.497557997557976)
Zotu1239,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(98.9010989010989),Bacillaceae_A(92.59917582417583),Bacillus_AC(74.54670329670331),Bacillus_AC circulans(37.27335164835166)
Zotu980,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(99.2857142857143),Bacillaceae_A(94.37380952380956),Bacillus_AC(77.64603174603178),Bacillus_AC circulans(38.82301587301589)
Zotu1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,7,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Bacillales(99.2857142857143),Bacillaceae_A(94.8373015873016),Bacillus_AC(77.00396825396825),Bacillus_AC circulans(38.50198412698413)
Zotu1150,0,0,0,0,0,0,0,0,0,0,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(100.0),Bacilli(100.0),Mycoplasmatales(100.0),Metamycoplasmataceae(100.0),Mycoplasmopsis(88.16666666666667),Mycoplasmopsis bovis(80.83333333333334)
Zotu851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Firmicutes(87.42341614906832),Bacilli(87.42341614906832),Staphylococcales(87.42341614906832),Staphylococcaceae(87.42341614906832),Staphylococcus(87.42341614906832),Staphylococcus pasteuri(6.28829192546584)
Zotu1036,0,0,0,0,0,0,0,0,0,0,2,1,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(54.4),Caviibacter abscessus(45.199999999999996)
Zotu986,0,0,0,0,0,0,0,0,0,0,3,6,6,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(55.333333333333336),Caviibacter abscessus(44.0)
Zotu1338,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(57.5),Caviibacter abscessus(39.666666666666664)
Zotu1041,0,0,0,0,0,0,0,0,0,0,3,1,2,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(57.500000000000014),Caviibacter abscessus(41.833333333333336)
Zotu1235,0,0,0,0,0,0,0,0,0,0,2,4,4,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(59.500000000000014),Caviibacter abscessus(39.83333333333333)
Zotu1221,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(61.16666666666667),Caviibacter abscessus(38.16666666666667)
Zotu1125,0,0,0,0,0,0,0,0,0,0,3,8,6,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(63.5),Caviibacter abscessus(36.5)
Zotu1320,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(64.33333333333333),Caviibacter abscessus(35.66666666666667)
Zotu1080,0,0,0,0,0,0,0,0,0,0,2,2,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Fusobacteriota(100.0),Fusobacteriia(100.0),Fusobacteriales(100.0),Leptotrichiaceae(100.0),Sneathia(67.0),Sneathia amnii(41.00000000000001)
Zotu1288,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(100.0),Acetobacterales(100.0),Acetobacteraceae(100.0),Acetobacter(100.0),Acetobacter malorum_A(57.57619047619047)
