,F06,F07,F08,F09,F11,F14,F18,F19,F21,F22,G01,G02,G03,G05,G07,G09,G10,L02,L03,L04,L06,L07,L08,L11,L13,L14,L15,L16,L17,L18,L20,L21,L22,L23,M02,M03,M04,M07,M08,M09,R03,R04,R05,R06,R08,R10,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu1238,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Firmicutes(99.99999999999999),Bacilli(99.99999999999999),Bacillales(99.99999999999999),Bacillaceae_A(93.89166666666665),Bacillus_AC(75.93571428571425),Bacillus_AC circulans(37.96785714285713)
Zotu1318,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,9,0,0,25,0,1,0,0,0,0,Bacteria(99.99999999999999),Firmicutes(99.99999999999999),Bacilli(99.99999999999999),Lactobacillales(99.99999999999999),Enterococcaceae(99.64512323872722),Enterococcus_B(41.34633526507273),Enterococcus rivorum(6.702962398496321)
Zotu450,10,3,0,4,3,30,7,1,0,8,0,0,0,0,0,0,0,34,4,9,2,11,6,7,7,43,11,1,0,5,9,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(95.54489552765621),Gammaproteobacteria(95.54489552765621),Pseudomonadales(95.54489552765621),Pseudomonadaceae(95.54489552765621),Pseudomonas_E(93.95200261534613),Pseudomonas_E putida_J(4.4551044723437805)
Zotu1242,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Alphaproteobacteria(99.99999999999999),Acetobacterales(99.99999999999999),Acetobacteraceae(99.99999999999999),Acetobacter(99.99999999999999),Acetobacter malorum_A(65.04285714285713)
Zotu924,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Alphaproteobacteria(99.99999999999999),Acetobacterales(99.99999999999999),Acetobacteraceae(99.99999999999999),Acetobacter(99.99999999999999),Acetobacter malorum_A(66.93333333333332)
Zotu1069,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,2,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Alphaproteobacteria(99.99999999999999),Rhizobiales(99.99999999999999),Beijerinckiaceae(99.99999999999999),Methylobacterium(99.99999999999999),Methylobacterium purpurogeneiscleroticus(14.099999999999996)
Zotu947,8,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,2,1,0,2,0,1,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Alphaproteobacteria(99.99999999999999),Rhizobiales(99.99999999999999),Beijerinckiaceae(99.99999999999999),Methylobacterium(99.99999999999999),Methylobacterium purpurogeneiscleroticus(14.142857142857146)
Zotu943,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,5,0,3,0,4,0,0,0,3,0,0,0,0,0,1,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(56.32059884559883),Pseudomonadales(56.32059884559883),Pseudomonadaceae(56.32059884559883),Hepatobacter(43.67940115440114),Hepatobacter penaei(43.67940115440114)
Zotu931,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,2,0,0,0,0,0,2,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(58.64837662337662),Pseudomonadales(58.64837662337662),Pseudomonadaceae(58.64837662337662),Hepatobacter(41.351623376623365),Hepatobacter penaei(41.351623376623365)
Zotu952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(59.25588023088026),Pseudomonadales(59.25588023088026),Pseudomonadaceae(59.25588023088026),Hepatobacter(40.7441197691198),Hepatobacter penaei(40.7441197691198)
Zotu858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(59.64711399711404),Pseudomonadales(59.64711399711404),Pseudomonadaceae(59.64711399711404),Hepatobacter(40.35288600288599),Hepatobacter penaei(40.35288600288599)
Zotu1182,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(61.70064935064938),Pseudomonadales(61.70064935064938),Pseudomonadaceae(61.70064935064938),Pseudomonas_E(39.32467532467533),Hepatobacter penaei(38.29935064935064)
Zotu1113,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(63.12489177489183),Pseudomonadales(63.12489177489183),Pseudomonadaceae(63.12489177489183),Pseudomonas_E(44.01731601731604),Hepatobacter penaei(36.87510822510824)
Zotu1308,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Burkholderiales(99.99999999999999),Burkholderiaceae(99.99999999999999),Massilia(45.56956376956377),Massilia sp000740675(23.70793650793651)
Zotu1275,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,18,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Burkholderiales(99.99999999999999),Burkholderiaceae(99.99999999999999),Massilia(47.637684537684535),Massilia sp000740675(29.142399267399266)
